#Name	ID	RON	>=_1_O	>=_1_any_ring_size_3	>=_1_any_ring_size_5	>=_1_any_ring_size_6	>=_1_any_ring_size_7	>=_1_any_ring_size_8	>=_1_aromatic_ring	>=_1_hetero-aromatic_ring	>=_1_saturated_or_aromatic_carbon-only_ring_size_3	>=_1_saturated_or_aromatic_carbon-only_ring_size_5	>=_1_saturated_or_aromatic_carbon-only_ring_size_6	>=_1_saturated_or_aromatic_carbon-only_ring_size_7	>=_1_saturated_or_aromatic_carbon-only_ring_size_8	>=_1_saturated_or_aromatic_heteroatom-containing_ring_size_5	>=_16_H	>=_2_O	>=_4_C	>=_8_C	>=_8_H	Auto-Ignition	Boiling_Point	C(-C)(-C)(=C)	C(-C)(-C)(=O)	C(-C)(-H)(=C)	C(-C)(-H)(=O)	C(-C)(-O)(=O)	C(-C)(=C)	C(-C)(=O)	C(-H)(=C)	C(-H)(=O)	C(-O)(=O)	C(:C)(:C)	C(~C)(:C)	C(~C)(:C)(:C)	C(~C)(~C)	C(~C)(~C)(~C)	C(~C)(~C)(~C)(~C)	C(~C)(~C)(~C)(~H)	C(~C)(~C)(~C)(~O)	C(~C)(~C)(~H)(~O)	C(~C)(~C)(~O)	C(~C)(~H)(~O)	C(~C)(~O)	C(~H)(:C)	C(~H)(:C)(:C)	C(~H)(~H)(~H)	C(~H)(~O)	C(~O)(:C)	C(~O)(:C)(:C)	C(~O)(~O)	C-C(C)(C)-C-C	C-C(C)-C(C)-C	C-C(C)-C-C	C-C(C)-C-C-C	C-C-C(C)-C-C	C-C-C-C-C	C-C-C-C-C-C	C-C-C-C-C-C(C)-C	C-C-C-C-C-C-C	C-C-C-C-C-C-C-C	C-C-C-C:C	C-C-C-O-[#1]	C-C-C:C-C	C-C-C=C	C-C-C=C-C	C-C-O-C-C	C-C-O-C:C	C-C:C-C-C	C-C:C-C:C	C-C:C-O-C	C-C:C:C-C	C-C=C-C	C-C=C-C-C	C-C=C-C:C	C-C=C-C=C	C-O	C-O-C-C:C	C-O-C-C=C	C-O-C:C-C	C-O-C=C	C:C-C-C	C:C-C-C-C	C:C-C-C:C	C:C-C:C	C:C-C=C	C:C-C=C-C	C:C-O-C	C:C-O-C-C	C=C	C=C-C-C	C=C-C-C-C	C=C-C-O-C	C=C-C-O-[#1]	C=C-C:C	C=C-C=C	C=O	CC1C(C)CCC1	CC1C(C)CCCC1	CC1CC(C)CC1	CC1CC(C)CCC1	CC1CCC(C)CC1	Cc1c(C)cccc1	Cc1ccc(C)cc1	Complexity	Defined_Bond_Stereocenter_Count	Density	Exact_Mass	Flash_Point	Heavy_Atom_Count	Hydrogen_Bond_Acceptor_Count	Hydrogen_Bond_Donor_Count	LogP	Melting_Point	Molecular_Weight	Monoisotopic_Mass	O(:C)(:C)	O(~C)(~C)	O(~C)(~H)	O-C-C-C-C	O-C-C-C-C-C	O-C-C-C-C-C-C	O-C-C-C:C	O-C-C-C=C	O-C-C:C	O-C-C:C-C	O-C-C=C	O-C-C=C-C	O-C:C-C	O-C:C-C-C	O-C:C-[#1]	O-C:C:C-C	O-C=C-C	O-H	O=C-C-C	O=C-C-C-C	O=C-C-C-C-C	O=C-C-C:C	O=C-C:C	O=C-C:C-C	O=C-C=C	O=C-C=C-C	O=C-C=C-[#1]	Rotatable_Bond_Count	Topological_Polar_Surface_Area	Undefined_Atom_Stereocenter_Count	Undefined_Bond_Stereocenter_Count	Vapor_Density	Vapor_Pressure	XLogP3	XLogP3-AA	[#1]-C-C=C-[#1]	[#1]-C-O-[#1]	[#1]-C=C-[#1]
1-Butanol	263	98	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	343.3333	117.6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1	0	0.8098	74.0732	36.6667	5	1	1	0.88	-88.6	74.1216	74.0732	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	20.2	0	0	2.6	7	0.9	2.4206	0	1	0
Octane	356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	206.1111	125.62	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0.6986	114.1409	13.3333	8	0	0	5.18	-56.73	114.2285	114.1409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	3.86	14.1	3.9	3.3176	0	0	0
Ethanol	702	109	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	685	78.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0.7893	46.0419	1	3	1	1	-0.31	-114.14	46.0684	46.0419	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20.2	0	0	1.59	59.3	-0.1	2.9332	0	1	0
n-Propanol	1031	104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	412.7778	97.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.2	0	0.8053	60.0575	23	4	1	1	0.25	-127	60.095	60.0575	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	20.2	0	0	2.1	21	0.3	3.3575	0	1	0
2-propanol	3776	109	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	399	82.3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.8	0	0.7851	60.0575	12	4	1	1	0.05	-87.9	60.095	60.0575	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20.2	0	0	2.1	45.4	1.3096	0.3	0	1	0
Ethane	6324	114.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472.2222	-88.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0493	30.0469	-135	2	0	0	1.81	-182.794	30.069	30.0469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04	28842	2.705	1.3	0	0	0
Ethene	6325	97.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	-102.4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92	28.0313	0	2	0	0	1.13	-169	28.0532	28.0313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978	43302.6	2.2966	1.2	0	0	1
Propane	6334	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	450	-42.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.493	44.0626	-104.4444	3	0	0	2.36	-187.6	44.0956	44.0626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56	7150	3.3924	1.8	0	0	0
Methylpropane	6360	102.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	460	-11.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8	0	0.5509	58.0782	0	4	0	0	2.76	-138.3	58.1222	58.0782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	2611	1.603	2.1	0	0	0
"2,2-Dimethylbutane"	6403	91.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	405	49.7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.8	0	0.6444	86.1095	-47.7778	6	0	0	3.82	-99.9	86.1754	86.1095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	319	3.3924	3	0	0	0
